
|ID|SPECIES|LEK|SEX|AGE|STATE|WEIGHT|HABITAT|DPS|DATE|YEAR|
|F426|Tympanuchus pallidicinctus|MCDANIEL 1|Female|Adult|Kansas|820|SHGPR|Northern|4/3/13|2013|
|F427|Tympanuchus pallidicinctus|CENTRAL YORK|Male|Juvenile|Kansas|710|SHGPR|Northern|4/4/13|2013|
|F428|Tympanuchus pallidicinctus|MCDANIEL 1|Male|Adult|Kansas|760|SHGPR|Northern|4/4/13|2013|
|F429|Tympanuchus pallidicinctus|SHARP|Male|Juvenile|Kansas|850|SHGPR|Northern|4/4/13|2013|
|F430|Tympanuchus pallidicinctus|SHARP|Male|Juvenile|Kansas|800|SHGPR|Northern|4/4/13|2013|
|F431|Tympanuchus pallidicinctus|SHARP|Male|Juvenile|Kansas|890|SHGPR|Northern|4/4/13|2013|
|F434|Tympanuchus pallidicinctus|SHARP|Male|Juvenile|Kansas|740|SHGPR|Northern|4/5/13|2013|
|F435|Tympanuchus pallidicinctus|EAST 2|Female|Juvenile|Kansas|600|MGPR|Northern|4/6/13|2013|
|F436|Tympanuchus pallidicinctus|LIEBL|Female|Adult|Kansas|701|MGPR|Northern|4/6/13|2013|
|F437|Tympanuchus pallidicinctus|SPRING LEK|Male|Juvenile|Kansas|820|SHGPR|Northern|4/6/13|2013|
|F438|Tympanuchus pallidicinctus|RUDZICK|Male|Juvenile|Kansas|885|SHGPR|Northern|4/6/13|2013|
|F439|Tympanuchus pallidicinctus|MIDDLE|Female|Adult|Kansas||MGPR|Northern|4/7/13|2013|
|F440|Tympanuchus pallidicinctus|MIDDLE|Female|Juvenile|Kansas|755|MGPR|Northern|4/7/13|2013|
|F441|Tympanuchus pallidicinctus|SWART|Male|Juvenile|Kansas|825|SHGPR|Northern|4/7/13|2013|
|F442|Tympanuchus pallidicinctus|RUDZICK|Male|Juvenile|Kansas|845|SHGPR|Northern|4/7/13|2013|
